9.77E+17,"Beware @Paytm phishing scammers are running rampant, just got this in my email @Paytmcare https://t.co/rqbDhXIxhE",Negative
9.77E+17,@delhivery @Paytmcare Delhivery has the rudest and the most unhelpful Customer Service amongst all courier companie… https://t.co/ag8r8X3coo,Negative
9.78E+17,@Hritvikgaur1 @ankitanytime @sanjay2167493 @SubhaashR @cjotweets @saketh_rascala @PMalhotra1974 @attab0yyy… https://t.co/tcKcDfZlVj,Neutral
9.77E+17,My aadhar not update kindly help me  @Paytmcare,Negative
9.77E+17,so @Paytm lets you deposit money in the wallet but you cant transact untill kyc is done ! you have my uid now and m… https://t.co/aDta21YdIC,Negative
9.78E+17,Ha ha it's almost a case of the kettle & pot @Paytm @vijayshekhar @SrivatsaKrishna https://t.co/qO9qG59VQ0,Neutral
9.78E+17,Important game for @BCCIWomen v @SouthernStars to stay in this @paytm triseries. On @StarSportsIndia right now. Won… https://t.co/m1SPh3rBof,Neutral
9.77E+17,@vijayshekhar Reference No.: 56642804 Experiencing worst service. Tried to contact @Paytmcare thrice and after send… https://t.co/iWo5e9JhMV,Negative
9.78E+17,Time to uninstall @Paytm ??,Negative
9.78E+17,India Women - Playing XI @paytm #IndvAus #T20I https://t.co/VSbyv7eWDG,Neutral
9.78E+17,India win the toss and elect to bowl in the @Paytm T20I against Australia.   Radha Yadav comes in for Veda Krishnam… https://t.co/sbBJYU3Iyz,Neutral
9.78E+17,please help @Paytm,Negative
9.77E+17,Can I not pay axis bank credit card bills?  @Paytm @Paytmcare,Negative
9.77E+17,Not able to send money from wallet to bank account. My kyc is also completed. What to do? @Paytmcare,Negative
9.78E+17,Why is @Paytm insisting on #Aadhar for full KYC when the honourable Supreme Court has indefinitely postponed this r… https://t.co/X5XxTHCydr,Negative
9.77E+17,Now m on the last stage but no body call or solve my prob from @Paytm @Paytmcare worst service today is 7th day… https://t.co/Xwgjr38Nj6,Negative
9.77E+17,@XpressBees_IN since last two days there is no update .... Kindly look into this and explain when it will be delive… https://t.co/eAibsfdMij,Negative
9.78E+17,@vijayshekhar  Dear vijayshekar sir  Your paytm care is not even replying through  mail also....  Please give the solution...,Negative
9.77E+17,Good working  paytm problem solve but not working get5 promo code so solve problems...  @Paytm  @Paytmcare,Negative
9.77E+17,Still waiting..this is unbelievable in today’s day and age. @vijayshekhar @Paytmcare @Paytm https://t.co/adg3DJIqoD,Negative
9.78E+17,Win Rs.1000 @Paytm cash ?? https://t.co/JICEkWIZNF,Positive
9.77E+17,Regarding query with Paytm Care (Reference No.: 57295269) Plz check my Query..@Paytm @Paytmcare,Negative
9.77E+17,What the hell !! Why such notice? promocodes are meant to be used... frustrated !!!! @Paytmcare https://t.co/TXThAzQF49,Negative
9.76E+17,Cashback still not received Pls look in this matter & Pls fix it @Paytmcare https://t.co/wBs7SVYzjB,Negative
9.76E+17,"@vijayshekhar @Paytmcare  Hi Paytm, I wanted to close my Paytm wallet already raised complain but no one is doing a… https://t.co/cmjWbLCnx6",Negative
9.78E+17,@vijayshekhar After repeated failed attempts at KYC ..giving unspecified error”oops something went wrong” and being… https://t.co/tLWP7zNGlA,Negative
9.78E+17,When honourable supreme court has put a hold on KYC then why even now it is mandate to do kyc for payment wallets… https://t.co/mEzYnw5n9S,Negative
9.76E+17,Still waiting for call from ur side https://t.co/CsD5uUe85W,Negative
9.76E+17,Look at ur casual attitude of not responding to concern of customers via email & not bothering to call as well… https://t.co/wmQS9ve1Ly,Negative
9.76E+17,My 300? paytm voucher refunded back to tps for this problem i contected paytm & tps both No communication with tps… https://t.co/mJ30bmmK4h,Negative
